,0
0,0.0
1,28.33333333333333
2,56.66666666666666
3,85.0
4,85.0
5,85.0
6,85.0
7,170.66666666666666
8,256.3333333333333
9,342.0
10,342.0
11,342.0
12,342.0
13,344.6666666666667
14,347.3333333333333
15,350.0
16,350.0
17,350.0
18,350.0
19,248.0
20,146.0
21,44.0
22,44.0
23,44.0
24,44.0
25,40.0
26,36.0
27,32.0
28,32.0
29,32.0
30,32.0
31,30.666666666666668
32,29.33333333333333
33,28.0
34,28.0
35,28.0
36,28.0
37,29.666666666666668
38,31.33333333333333
39,33.0
40,33.0
41,33.0
42,33.0
43,32.666666666666664
44,32.333333333333336
45,32.0
46,32.0
47,32.0
48,32.0
49,21.33333333333333
50,10.666666666666666
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,12.333333333333334
62,24.666666666666668
63,37.0
64,37.0
65,37.0
66,37.0
67,24.666666666666668
68,12.333333333333334
69,0.0
70,0.0
71,0.0
