,0
0,0.0
1,85.0
2,85.0
3,85.0
4,85.0
5,85.0
6,85.0
7,342.0
8,342.0
9,342.0
10,342.0
11,342.0
12,342.0
13,350.0
14,350.0
15,350.0
16,350.0
17,350.0
18,350.0
19,44.0
20,44.0
21,44.0
22,44.0
23,44.0
24,44.0
25,32.0
26,32.0
27,32.0
28,32.0
29,32.0
30,32.0
31,28.0
32,28.0
33,28.0
34,28.0
35,28.0
36,28.0
37,33.0
38,33.0
39,33.0
40,33.0
41,33.0
42,33.0
43,32.0
44,32.0
45,32.0
46,32.0
47,32.0
48,32.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,37.0
62,37.0
63,37.0
64,37.0
65,37.0
66,37.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
