,0,1,2,3,4,5
0,1172,1,0,0,0,1
1,2455,1,0,0,0,0
2,1280,0,0,0,0,0
3,2731,1,0,0,0,0
4,1462,1,0,0,0,0
5,2880,1,0,0,0,1
6,1579,1,0,1,1,1
7,3199,1,0,0,0,2
8,1722,3,0,0,1,1
9,3508,9,0,0,0,3
10,1886,6,0,0,0,2
11,3910,7,0,0,0,2
12,2097,1,0,0,1,3
13,4331,5,0,0,0,4
14,2332,4,0,1,1,2
15,4874,8,0,0,2,7
16,2641,3,0,1,0,7
17,5407,12,0,2,1,5
18,2813,10,0,2,0,9
19,5999,15,0,2,3,2
20,3245,15,3,0,2,6
21,6589,14,0,1,1,11
22,3475,11,0,1,0,7
23,7406,12,1,6,1,10
24,3929,8,0,5,2,5
25,8212,27,0,6,0,10
26,4443,8,1,3,0,5
27,8903,19,2,7,1,7
28,4800,10,1,4,3,7
29,10137,15,0,9,3,9
30,5328,24,2,3,2,7
31,11047,32,1,8,5,15
32,5795,17,2,9,1,4
33,12036,31,1,12,6,17
34,6492,19,5,6,3,9
35,13379,49,3,9,6,17
36,7091,33,3,7,2,8
37,14931,55,4,16,5,28
38,7944,31,3,6,6,18
39,16620,65,14,19,10,21
40,8595,46,5,9,4,19
41,18160,59,7,27,12,21
42,9763,33,7,14,3,16
43,20141,76,12,30,10,38
44,10839,39,3,14,5,18
45,22436,84,7,30,12,45
46,11751,59,7,19,6,27
47,24584,95,14,33,16,46
48,12948,63,8,18,13,32
49,26846,124,15,40,21,61
50,14171,78,15,24,12,33
51,29353,125,22,59,25,70
52,15572,83,13,35,12,50
53,32574,157,23,59,21,94
54,17206,89,16,36,16,58
55,35695,202,27,64,34,92
56,18875,97,13,37,19,66
57,38641,208,44,76,29,124
58,20398,128,27,37,13,60
59,42322,224,36,82,43,141
60,22658,149,24,60,31,94
61,46163,292,48,107,48,161
62,24688,192,38,50,26,101
63,50882,321,69,119,64,219
64,26645,186,41,58,43,99
65,54927,392,81,121,79,226
66,28939,222,46,83,46,146
67,60151,422,98,157,83,279
68,31650,281,46,89,35,180
69,65344,459,100,183,113,290
70,34583,274,69,96,47,172
71,71083,590,121,235,120,386
