,0,1,2,3,4,5
0,2802.0,6.0,0.0,0.0,0.0,1.0
1,3185.445,2.466,0.085,0.208,0.046,0.362
2,3291.343,6.788,0.222,0.526,0.129,1.751
3,3617.042,4.434,0.123,0.366,0.036,3.406
4,4898.0,10.0,2.0,10.0,0.0,14.0
5,4046.095,12.312,0.89,9.152,0.007,13.442
6,4123.843,12.79,1.045,11.28,0.387,11.689
7,4144.453,15.123,0.003,11.994,0.001,23.85
8,4578.32,15.377,1.12,13.071,0.155,21.553
9,4882.023,34.964,0.999,5.019,0.0,42.981
10,5113.42,33.626,0.256,9.168,0.904,61.164
11,5167.197,51.685,2.104,7.614,0.554,77.003
12,5597.558,63.941,2.604,8.486,1.556,90.16
13,5831.274,70.984,1.009,5.012,0.997,138.961
14,10643.0,117.0,7.0,10.0,0.0,115.0
15,7063.0,100.0,8.0,19.0,0.0,194.0
16,6878.58,108.039,6.012,27.952,0.006,455.775
17,7519.348,157.749,7.467,12.429,0.002,669.022
18,7833.544,213.504,8.5,14.154,0.002,1047.874
19,8155.798,262.992,13.086,4.644,1.642,1608.248
20,8702.223,314.351,13.817,5.856,1.149,2260.187
21,9022.221,419.491,19.631,9.357,0.024,3490.515
22,9720.0,570.0,27.0,4.0,2.0,5443.0
23,9830.496,774.579,26.625,9.4,3.701,7658.492
24,10487.248,926.413,25.792,16.423,1.001,11864.497
25,11563.322,1266.556,51.39,19.732,1.866,17148.436
26,12310.0,1270.0,63.0,29.0,3.0,27118.0
27,12822.032,1718.941,67.31,27.211,2.831,39777.794
28,13168.0,2147.0,109.0,25.0,2.0,56914.0
29,14280.217,2641.658,131.0,43.967,3.009,85970.441
30,14800.0,4037.0,221.0,41.0,5.0,125102.0
31,15712.712,5044.928,353.624,60.832,7.488,180182.728
32,17659.0,6064.0,436.0,77.0,12.0,256322.0
33,18644.49,9000.835,672.985,100.155,20.995,355949.45
34,20015.44,10378.508,976.088,200.828,10.056,474505.812
35,21136.0,12808.0,1332.0,317.0,19.0,596304.0
36,22767.0,16777.0,2092.0,520.0,33.0,716435.0
37,25677.0,23382.0,2426.0,604.0,33.0,770573.0
38,25928.0,29775.0,3214.0,743.0,55.0,796136.0
39,29471.0,35785.0,3869.0,874.0,36.0,706180.0
40,31237.0,45581.0,4932.0,976.0,100.0,609191.0
