,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,2
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,2
56,1
57,1
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,2
68,2
69,2
70,1
71,1
72,0
73,2
74,2
75,5
76,5
77,2
78,2
79,2
80,2
81,3
82,3
83,3
84,5
85,5
86,3
87,2
88,3
89,3
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,2
101,3
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,3
110,3
111,3
112,3
113,1
114,1
115,2
116,2
117,1
118,0
119,0
120,2
121,3
122,2
123,583
124,600
125,602
126,565
127,585
128,662
129,562
130,564
131,563
132,619
133,615
134,621
135,588
136,635
137,661
138,634
139,638
140,632
141,600
142,629
143,631
144,651
145,635
146,623
147,594
148,581
149,609
150,613
151,595
152,592
153,569
154,564
155,567
156,579
157,586
158,569
159,528
160,518
161,510
162,514
163,531
164,541
165,532
166,524
167,512
168,445
169,443
170,439
171,471
172,449
173,441
174,446
175,435
176,437
177,460
178,489
179,510
180,508
181,507
182,486
183,471
184,550
185,553
186,551
187,551
188,555
189,540
190,538
191,540
192,507
193,518
194,539
195,541
196,554
197,561
198,583
199,615
200,626
201,681
202,663
203,622
204,642
205,715
206,728
207,755
208,771
209,860
210,869
211,876
212,1016
213,1030
214,1000
215,1010
216,1022
217,963
218,983
219,1042
220,1034
221,1091
222,1120
223,1132
224,1053
225,1099
226,1130
227,1149
228,1174
229,1176
230,1197
231,1183
232,1219
233,1308
234,1385
235,1406
236,1440
237,1499
238,1531
239,1577
240,1635
241,1731
242,1789
243,1886
244,1953
245,2000
246,2118
247,2213
248,2319
249,2443
250,2512
251,2627
252,2720
253,2843
254,2988
255,3122
256,3195
257,3222
258,3359
259,3503
260,3674
261,3818
262,3984
263,4229
264,4387
265,4482
266,4600
267,4767
268,4926
269,4948
270,5324
271,5478
272,5477
273,5525
274,5819
275,5989
276,6131
277,6180
278,6266
279,6376
280,6344
281,6551
282,6787
283,7247
284,7138
285,7123
286,7069
287,7381
288,7721
289,7943
290,7998
291,8133
292,8045
293,7926
294,8099
295,8406
296,8636
297,8723
298,8751
299,8777
300,8779
301,8632
302,8685
303,9060
304,9090
305,9151
306,9070
307,9230
308,9100
309,9104
310,9378
311,9501
312,9300
313,9123
314,9034
315,8800
316,8900
317,8984
318,8877
319,8733
320,8609
321,8377
322,8165
323,8173
324,8170
325,8265
326,8223
327,8184
328,8027
329,7858
330,7903
331,7990
332,7785
333,7594
334,7350
335,7079
336,6840
337,6854
338,6799
339,6781
340,6722
341,6412
342,6248
343,6022
344,6074
345,6169
346,6058
347,5970
348,5879
349,5729
350,5545
351,5558
352,5554
353,5507
354,5466
355,4537
356,5206
357,5071
358,5094
359,5116
360,5019
361,5002
362,4871
363,4899
364,4701
365,4761
366,4850
367,4819
368,4796
369,4728
370,4727
371,4572
372,4628
373,4814
374,4803
375,4827
376,4846
377,4803
378,4763
379,4789
380,4863
381,4816
382,4833
383,4754
384,4683
385,4516
386,4595
387,4664
388,4610
389,4579
390,4526
391,4413
392,4265
393,4332
394,4309
395,4222
396,4182
397,4120
398,4057
399,3971
400,4005
401,4013
402,3916
403,3789
404,3621
405,3496
406,3403
407,3346
408,3302
409,3242
410,3140
411,3041
412,2918
413,2747
414,2759
415,2685
416,2566
417,2533
418,2444
419,2367
420,2174
421,2170
422,2098
423,2014
424,2028
425,1959
426,1876
427,1763
428,1747
429,1670
430,1613
431,1588
432,1518
433,1432
434,1391
435,1369
436,1411
437,1358
438,1303
439,1232
440,1208
441,1129
442,1094
443,1084
444,1069
445,1008
446,952
447,908
448,848
449,839
450,841
451,807
452,785
453,743
454,731
455,684
456,669
457,689
458,670
459,632
460,591
461,576
462,523
463,525
464,523
465,509
466,471
467,440
468,402
469,369
470,380
471,400
472,404
473,415
474,392
