,0
0,13
1,16
2,13
3,12
4,16
5,11
6,6
7,14
8,11
9,19
10,16
11,13
12,17
13,19
14,17
15,21
16,31
17,19
18,29
19,30
20,37
21,33
22,31
23,36
24,35
25,42
26,41
27,50
28,43
29,45
30,49
31,54
32,53
33,63
34,58
35,64
36,65
37,66
38,56
39,62
40,68
41,63
42,59
43,76
44,77
45,91
46,86
47,95
48,75
49,107
50,92
51,99
52,93
53,102
54,100
55,105
56,122
57,115
58,119
59,123
60,131
61,109
62,119
63,120
64,124
65,107
66,116
67,108
68,130
69,116
70,130
71,139
72,117
73,111
74,134
75,124
76,110
77,102
78,117
79,111
80,109
81,111
82,115
83,87
84,93
85,105
86,83
87,92
88,87
89,81
90,71
91,76
92,68
93,76
94,76
95,57
96,73
97,56
98,57
99,62
