,0
0,0.18393972058572117
1,0.22242903311147055
2,0.2636462120215243
3,0.30631319709220806
4,0.3488381630355155
5,0.38940039153570244
6,0.4260718944831057
7,0.4569655926356141
8,0.4803947195761616
9,0.49502491687458405
10,0.5
11,0.49502491687458405
12,0.4803947195761616
13,0.4569655926356141
14,0.4260718944831057
15,0.38940039153570244
16,0.3488381630355155
17,0.30631319709220806
18,0.2636462120215243
19,0.22242903311147055
20,0.18393972058572117
21,0.1490986397149437
22,0.11846387934106088
23,0.09225976199649463
24,0.0704292104605225
25,0.052699612280932166
26,0.03865237022164987
27,0.02778810630574153
28,0.019581947549493533
29,0.013525923433175208
30,0.00915781944436709
31,0.006077589164957467
32,0.003953527025796721
33,0.0025208801298454895
34,0.0015755557992222207
35,0.0009652270681138547
36,0.0005796145869522957
37,0.0003411640263781883
38,0.00019683452032753915
39,0.00011131492845944448
40,6.170490204333978e-05
41,3.352741215140556e-05
42,1.7856424820817606e-05
43,9.32187116575841e-06
44,4.770081436539615e-06
45,2.3925586960645044e-06
46,1.1762876000048855e-06
47,5.668635693739831e-07
48,2.6776739013965543e-07
49,1.239798009022514e-07
50,5.626758735962956e-08
51,2.5031090103835244e-08
52,1.091478897562739e-08
53,4.665143787252503e-09
54,1.954469217132432e-09
55,8.026140275928058e-10
56,3.230715886553054e-10
57,1.2746909401959845e-10
58,4.929752787995758e-11
59,1.868785663972128e-11
60,6.9439719324820104e-12
61,2.5291263714218926e-12
62,9.029157187566086e-13
63,3.159642942587684e-13
64,1.0837844413094809e-13
65,3.643862047909846e-14
66,1.2008673908104804e-14
67,3.879201037848028e-15
68,1.2282976843960714e-15
69,3.8122299526948614e-16
70,1.1597614151217848e-16
71,3.458376987770721e-17
72,1.0108579243476734e-17
73,2.8961564426974355e-18
74,8.133323107266215e-19
75,2.2388662208591507e-19
76,6.040910099499854e-20
77,1.5976833588741713e-20
78,4.1418385038414296e-21
79,1.0524699891698678e-21
80,2.621442831681732e-22
81,6.400076595258231e-23
82,1.531595432288715e-23
83,3.5926678179511e-24
84,8.260458911571359e-25
85,1.8616815608752553e-25
86,4.1126403258033426e-26
87,8.905333173785465e-27
88,1.890138922388036e-27
89,3.9323429678832375e-28
90,8.01905445274319e-29
91,1.6029096616975006e-29
92,3.1405740738030107e-30
93,6.0314696389057425e-31
94,1.1354064610131956e-31
95,2.0950465972471987e-32
96,3.789222633809215e-33
97,6.717700988793704e-34
98,1.1673613917436365e-34
99,1.98840154895084e-35
